"txn_time","txn_date","order_id","uid","shop_id","shop_owner_uid","gmv","rebate"
"2019-10-30 14:08:00","2019-10-30 00:00:00",142018507,102272365,2420,101163904,25000,7500
"2019-10-30 20:41:00","2019-10-30 00:00:00",142123135,1632707,2483,100513500,75000,20000
"2019-10-30 21:01:00","2019-10-30 00:00:00",142127773,100614960,2588,103093131,184000,20000
"2019-10-30 12:33:00","2019-10-30 00:00:00",141990041,2029746,2613,101814946,70000,20000
"2019-10-30 15:53:00","2019-10-30 00:00:00",142057775,2001998,26666,1004400,90000,20000
"2019-10-30 13:30:00","2019-10-30 00:00:00",142006719,100005994,26743,1005510,100000,20000
"2019-10-30 20:21:00","2019-10-30 00:00:00",142118197,103151019,26745,1005510,59000,17700
"2019-10-30 12:19:00","2019-10-30 00:00:00",141985438,100369457,26747,1005510,23200,6960
"2019-10-30 20:42:00","2019-10-30 00:00:00",142123327,102919460,26747,1005510,122000,20000
"2019-10-30 21:21:00","2019-10-30 00:00:00",142132086,101669926,2693,103097598,729000,20000
"2019-10-30 12:55:00","2019-10-30 00:00:00",141995266,102462612,2719,103098204,215000,20000
"2019-10-30 18:30:00","2019-10-30 00:00:00",142090647,101328842,2719,103098204,145000,20000
"2019-10-30 12:09:00","2019-10-30 00:00:00",141982129,1575178,27525,1006767,49000,14700
"2019-10-30 19:31:00","2019-10-30 00:00:00",142105494,102793129,27525,1006767,163000,20000
"2019-10-30 20:54:00","2019-10-30 00:00:00",142126211,1774760,27525,1006767,88000,20000
"2019-10-30 12:40:00","2019-10-30 00:00:00",141991853,100242845,27526,1006767,196000,20000
"2019-10-30 20:15:00","2019-10-30 00:00:00",142116728,1759771,27528,1006767,231000,20000
"2019-10-30 21:54:00","2019-10-30 00:00:00",142138877,100572867,27528,1006767,89000,20000
"2019-10-30 12:22:00","2019-10-30 00:00:00",141986425,100513490,27542,1006772,84000,20000
"2019-10-30 19:35:00","2019-10-30 00:00:00",142106362,103859570,27543,1006772,123000,20000
"2019-10-30 20:54:00","2019-10-30 00:00:00",142126156,100535672,27543,1006772,83000,20000
"2019-10-30 19:08:00","2019-10-30 00:00:00",142099271,103289152,27554,1006775,175000,20000
"2019-10-30 20:08:00","2019-10-30 00:00:00",142115024,101864644,27554,1006775,80000,20000
"2019-10-30 21:47:00","2019-10-30 00:00:00",142137669,103962957,27554,1006775,48000,14400
"2019-10-30 19:55:00","2019-10-30 00:00:00",142111463,103986994,27556,1006775,40000,12000
"2019-10-30 21:19:00","2019-10-30 00:00:00",142131614,103868117,27556,1006775,95000,20000
"2019-10-30 22:06:00","2019-10-30 00:00:00",142142042,102043739,27561,1006778,108000,20000
"2019-10-30 15:37:00","2019-10-30 00:00:00",142052958,102020616,27598,1006863,76000,20000
"2019-10-30 17:06:00","2019-10-30 00:00:00",142074123,103910859,27599,1006863,105000,20000
"2019-10-30 17:09:00","2019-10-30 00:00:00",142074523,100974622,27599,1006863,70000,20000
"2019-10-30 17:11:00","2019-10-30 00:00:00",142074826,103910859,27599,1006863,72000,0
"2019-10-30 08:06:00","2019-10-30 00:00:00",141923059,104049566,27600,1006863,18000,5400
"2019-10-30 12:02:00","2019-10-30 00:00:00",141979129,100412726,27600,1006863,110000,0
"2019-10-30 12:29:00","2019-10-30 00:00:00",141988606,101351819,27600,1006863,81000,20000
"2019-10-30 10:13:00","2019-10-30 00:00:00",141947782,103849933,27686,1006951,80000,20000
"2019-10-30 11:26:00","2019-10-30 00:00:00",141967241,103449122,27913,1007613,48000,14400
"2019-10-30 13:12:00","2019-10-30 00:00:00",142001166,100198469,2794,103099693,75000,20000
"2019-10-30 17:45:00","2019-10-30 00:00:00",142081462,102033366,27999,1005510,65000,19500
"2019-10-30 13:33:00","2019-10-30 00:00:00",142007724,103182723,28039,1008216,130000,20000
"2019-10-30 14:40:00","2019-10-30 00:00:00",142032520,100436772,28039,1008216,25000,7500
"2019-10-30 13:15:00","2019-10-30 00:00:00",142002020,101650394,28041,1008216,105000,20000
"2019-10-30 21:04:00","2019-10-30 00:00:00",142128438,100277472,28041,1008216,100000,20000
"2019-10-30 23:07:00","2019-10-30 00:00:00",142155291,101796803,28041,1008216,95000,20000
"2019-10-30 16:15:00","2019-10-30 00:00:00",142063987,1937481,28087,1008661,10,0
"2019-10-30 20:54:00","2019-10-30 00:00:00",142126166,1002600,28170,1009049,79000,20000
"2019-10-30 20:58:00","2019-10-30 00:00:00",142127042,1680960,28172,1009049,84000,20000
"2019-10-30 11:49:00","2019-10-30 00:00:00",141974246,103546581,28189,1009053,310000,20000
